feature,Alpha = 0.001000,Alpha = 0.002000,Alpha = 0.005000,Alpha = 0.010000,Alpha = 0.015000,Alpha = 0.020000,Alpha = 0.050000,Alpha = 0.100000
5d_spread_change,-0.039579873418023596,-0.04437168680520626,-0.04015741412470479,-0.0007782255321918587,,,,
10d_spread_change,-0.18939673913669935,-0.1801760967158677,-0.11942437057703742,,,,,
15d_spread_change,0.244216287344642,0.228149570072298,0.14067756645463203,,,,,
20d_spread_change,0.018369583491832795,0.021605781187417204,0.033091569706117874,,0.002010935744803864,0.005612585890652048,0.000630606433278323,
10d_act_price_exp_mva,0.009943694251254031,0.031014754286002047,0.05002082033683033,0.013560518610339214,0.01030602286947267,0.003146268751432635,,
-1d_corr_act_price_def_OI,,,,,,,,
-1d_corr_def_price_def_OI,-0.17726819484022713,-0.1585839252610187,-0.10037859292216553,-0.08194941552601218,-0.06670530150995331,-0.05299448516539921,,
10d_spread_std_divided_by_std,0.1340200274238133,0.10869760778064198,0.05545875948259202,0.03505165320906875,0.02292143684881923,0.011471048313750128,,
10d_current_price,-0.0016692739512369711,,,,,,,
1d_z_diff_act_price_def_price,-0.09497541691939683,-0.09947184715446403,-0.09659465988971973,-0.0828017373953353,-0.06935799010925936,-0.05707537806625353,-0.010370761463268336,
-1d_corr_act_price_def_volume,,,-0.01092910761805928,,,,,
-1d_corr_def_price_def_volume,,,,,,,,
10d_current_spread,0.03815020987578148,0.02839039132687467,0.016944007963322454,,,,,
-1d_std,0.08619628304488698,0.07693369604102092,0.08292220305208167,0.06661140261365074,0.06334855761824712,0.05818554780309014,0.03676406341699822,
-1d_corr_act_price_def_price,0.0013204676659758015,0.0030041634250630492,,,,,,
-1d_corr_act_OI_def_volume,-0.18249596025051637,-0.127500066827736,-0.06463684826419185,-0.033237359094867726,-0.015760396142620123,,,
-1d_corr_act_OI_def_OI,0.06884803982883504,0.02942094189264382,,,,,,
-1d_corr_def_volume_def_OI,-0.09539256399597383,-0.05176571123165197,,,,,,
-1d_corr_def_OI_spread,0.13707008861717013,0.09644104876617185,0.04474916578002231,0.0944703337592354,0.09505954337400112,0.09259053234174756,0.07400669394226682,0.029655027976458692
-1d_corr_def_volume_spread,-0.18198540799303578,-0.1127532015821525,,,,,,
1d_z_diff_act_price_def_OI,0.17566115703311277,0.15047972236181356,0.11025098469461654,0.09928579737882272,0.08335881792270977,0.07557142749061677,0.022460764804005794,
-1d_corr_act_volume_def_volume,-0.19354764319556514,-0.12172255658921823,-0.00833594939101282,,,,,
-1d_corr_act_volume_def_OI,0.21277258508186847,0.14044431374335045,0.02576090581228199,0.025463028935305193,0.020817913526019315,0.015747594297681074,0.0015480910540537807,
-1d_corr_act_price_act_OI,,,0.009959225910408003,,,,,
1d_z_diff_act_volume_act_OI,-0.01563435319488416,,0.006621018239026732,0.013949661253774859,0.009862339257642566,0.005616694702765871,,
10d_def_volume_exp_mva,0.00916825932962275,0.005198175727494209,0.0008027055891411764,0.007464046389732079,,,,
-1d_corr_act_OI_spread,0.06282207362367018,0.054773070633894555,0.019524712203110098,,,,,
-1d_corr_def_price_spread,0.03865641645655671,0.024749796479428335,0.00545341419846681,,,,,
